"Region";"X2021";"X2020";"X2019";"X2018";"X2017";"X2016";"X2015";"X2014";"X2013";"X2012";"X2011";"X2010";"X2009";"X2008";"X2007";"X2006";"X2005";"X2004";"X2003";"X2002"
"Zhejiang";"72.5838349717783";"72.7134810888102";"72.9106120651695";"73.3193009312412";"75.3483778154725";"75.417992355491";"75.8207108155292";"78.3504927842309";"78.8632757404795";"78.9124726477024";"78.8233277627801";"76.9756690469472";"75.0769704433498";"75.3289760348584";"74.7077043887968";"74.968697142104";"73.5220717524756";"74.6070662405324";"72.3951756868551";"72.4158273066923"
"Anhui";"65.9103546274558";"66.5494374748482";"67.3842863484121";"68.2100671659075";"67.9062294320338";"70.9966190256647";"71.0450962237601";"71.6997669369136";"71.0077363608962";"71.5729639933551";"71.5036576516504";"71.0323020411255";"70.5937259782569";"69.1412303146059";"68.6258822692766";"68.4563994374121";"66.8161141594504";"69.7882540950859";"69.9945731979825";"67.5676536642085"
"Fujian";"69.5661976911977";"71.0297519342745";"73.131620719816";"73.793679779628";"71.9903168740883";"71.7589456180329";"73.4225727243452";"74.8225031042058";"74.9807371259792";"74.6874300514821";"76.5660887896045";"74.721352536005";"72.8915474966508";"72.2601896318187";"72.3148317762716";"72.701263125856";"72.7644778403238";"72.2245065789474";"70.6663553311345";"71.3101063673924"
"Jiangxi";"66.7021965849479";"67.9704393698168";"69.6431521559557";"69.9789915966387";"68.6424023268611";"69.1803193695562";"69.4703554419662";"70.0128047804514";"71.2949813777766";"70.3964874933475";"70.9059142588923";"70.4078210849434";"69.9203797274537";"68.914519344825";"68.4015521341845";"66.9869475155357";"66.4660260184484";"70.3906174742318";"69.8114563618505";"68.0956624358758"
"Shandong";"65.6612076648841";"66.0108584636886";"66.4917388084476";"66.8272497815746";"69.3825604227776";"71.406834084156";"71.9872377369978";"72.7447145615685";"73.5419700987166";"73.3485954708576";"73.7174504469491";"74.1618733604486";"74.5978752071733";"74.6616452865717";"74.8459671396565";"75.1701511291054";"74.1275930406767";"73.6572660319741";"72.5859092174882";"72.6607877456828"
"Henan";"63.8131812493432";"65.2859828888666";"67.3378880498622";"67.6419374928507";"68.3020062021391";"69.1352632892438";"69.1627702800656";"70.3132022652267";"70.3068684996396";"70.628034096556";"70.4655395970477";"71.2282710650376";"71.9567961511896";"72.3329328904907";"72.0564422854499";"71.0357880247763";"70.6291639282999";"70.6395964904845";"69.3682980984752";"68.7128796430116"
"Hubei";"68.6807669884045";"69.8229021789522";"71.3542005596408";"72.1576147469999";"71.9497165393148";"72.9446784383606";"73.5866424861235";"73.7691939079526";"75.1483493522775";"75.1550218793422";"75.5844683878837";"75.4707552072922";"75.3607801502104";"75.1861810163065";"74.4123034651198";"73.2278123233465";"71.9443944622028";"72.5380276875748";"70.9685050013517";"68.1103425004218"
"Hunan";"65.6691521364109";"66.1897541776889";"66.8678390373438";"68.0267534857386";"69.4211520468869";"69.9092653987088";"70.3661165812455";"70.8255395683453";"71.1602890309495";"70.2476802541792";"71.6189597345211";"71.6113526313929";"71.6033086941218";"72.8177907299473";"72.8923298276866";"71.4363466281146";"71.1606555340993";"72.6833843268092";"71.6564155003739";"71.0624446006663"
"Guangdong";"72.1467917224952";"73.4691871117665";"75.4553891914256";"74.828001375989";"75.4215530558517";"75.5675464405528";"76.6117647618493";"75.2562060043162";"76.0754493608205";"76.6480004525143";"76.2128133704735";"75.7113751344917";"75.1826878949412";"73.9692465641552";"73.5081553783465";"72.6650361025617";"71.2020903776073";"66.9366990791422";"65.3985787115711";"67.0469850808123"
"Guangxi";"64.4928487075187";"65.9673913043478";"68.0024836364577";"68.1138948777043";"67.9980190664851";"68.9529709663938";"67.6123320657535";"68.5715742251223";"69.2376819780728";"68.0847796037475";"68.4951872196744";"68.9772094262394";"69.4224895665757";"68.7898825487839";"68.9056673265503";"68.7792939438018";"66.7015759430773";"70.6104454944313";"69.318730198695";"69.2867969013136"
"Hainan";"69.6018518518518";"70.2479338842975";"71.1836734693878";"72.6168712457561";"71.9895287958115";"72.00571577033";"71.7428458431029";"73.2966738197425";"73.1086750575179";"73.6244423414898";"73.1990394877268";"71.9904648390942";"70.7993689192743";"69.5238095238095";"69.789501039501";"69.1398128898129";"67.7703670586947";"68.5826174835776";"68.0816223705756";"66.6751140395337"
"Chongqing";"66.9713983362239";"67.3448382337805";"67.8709730575925";"68.5985206169342";"69.3294391601216";"70.5829420970266";"71.1067668595258";"70.620164459027";"71.1488250652742";"70.671061734424";"71.5385540719355";"70.7828926409685";"70.0363866476823";"69.0272068898023";"69.3887814313346";"69.0982503364738";"68.3651621229753";"67.6791149805256";"71.9988278579103";"71.2309595104804"
